AP_ID,AP_code,N_i,S_i,I_i,R_i,City_name
1,ATL,420003,420003,0,0,Atlanta
2,BOS,617594,617594,0,0,Boston
3,CLT,731424,731424,0,0,Charlotte
4,DEN,600158,600158,0,0,Denver
5,DFW,1197816,1197816,0,0,Dallas
6,DTW,713777,713777,0,0,Detroit
7,EWR,277140,277140,0,0,Newark
8,FLL,306289,306289,0,0,Fort Lauderdale+Hollywood (Florida)
9,IAH,2100263,2100263,0,0,Houston
10,JFK,8175133,8175113,20,0,NY/JFK
11,LAS,583756,583756,0,0,Las Vegas
12,LAX,3792621,3792621,0,0,Los Angeles
13,LGA,8175133,8175133,0,0,NY/La Guardia
14,MCO,238300,238300,0,0,Orlando
15,MSP,382578,382578,0,0,Minneapolis
16,ORD,2695598,2695598,0,0,Chicago
17,PHL,1526006,1526006,0,0,Philadelphia
18,PHX,1445632,1445632,0,0,Phoenix
19,SEA,608660,608660,0,0,Seattle
20,SFO,805235,805235,0,0,San Francisco
